鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,房地(土地+建物),臺北市中正區愛國東路61~90號,33.62,住,,,1081213,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660201,179.7,4,2,2,有,無,45300000,252087,,0.0,0,含增建或未登記建物。;,RPUNMLOJKHPFFAA77CA
中正區,房地(土地+建物),臺北市中正區南昌路一段121~150號,4.75,商,,,1081007,土地2建物1車位0,五層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970307,37.64,1,1,1,有,有,11500000,305526,,0.0,0,,RPXNMLOJKHPFFAA08CA
文山區,房地(土地+建物)+車位,臺北市文山區羅斯福路六段142巷61~90號,48.65,住,,,1051125,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081016,221.66000000000003,4,2,2,有,有,46500000,228959,一樓平面,31.67,3000000,,RPVOMLPJKHPFFAA08CA
文山區,房地(土地+建物),臺北市文山區興隆路一段202巷7弄1~30號,41.36,住,,,1081210,土地2建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,119.66,3,2,1,有,無,15500000,129534,,0.0,0,含增建或未登記建物。;,RPRNMLQJKHPFFAA67CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路三段304巷151~180號,41.27,住,,,1081207,土地2建物2車位1,五層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051018,188.57999999999998,3,2,2,有,有,26000000,150546,坡道平面,29.16,2000000,,RPOPMLSKKHPFFAA87CA
大同區,房地(土地+建物)+車位,臺北市大同區承德路二段181~210號,12.99,住,,,1090103,土地2建物1車位1,一層，騎樓,十二層,辦公商業大樓,商業用,鋼筋混凝土造,0860331,90.19,0,0,0,無,有,26000000,288280,坡道機械,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLNJKHPFFBA27CA
萬華區,房地(土地+建物),臺北市萬華區西園路二段61~90號,1.17,其他,,,1090115,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0721205,5.3,1,1,1,有,無,276934,52252,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLOJKHPFFBA47CA
萬華區,土地,莒光段三小段271~300地號,3.46,住,,,1090115,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,830124,239920,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLOJKHPFFBA57CA
萬華區,土地,莒光段三小段271~300地號,3.46,住,,,1090115,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,830124,239920,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLOJKHPFFBA67CA
萬華區,房地(土地+建物),臺北市萬華區西園路二段61~90號,1.17,其他,,,1090115,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0721205,5.3,1,1,1,有,無,276934,52252,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLOJKHPFFBA77CA
大同區,房地(土地+建物)+車位,臺北市大同區民族西路225巷1~30號,35.71,住,,,1080825,土地1建物1車位2,一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960731,199.75,3,2,2,有,有,33260000,166508,坡道機械,39.98,0,含增建或未登記建物。;,RPVNMLOJKHPFFBA97CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,10.82,住,,,1081221,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,126.17,2,2,1,有,有,25800000,204486,坡道平面,35.84,0,,RPXNMLOJKHPFFBA18CA
萬華區,房地(土地+建物),臺北市萬華區東園街66巷24弄1~30號,21.39,住,,,1081218,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060515,134.94,3,2,2,有,有,20500000,151919,,0.0,0,,RPQOMLOJKHPFFBA57CA
大同區,房地(土地+建物)+車位,臺北市大同區民生西路171巷1~30號,7.07,商,,,1081208,土地2建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940414,80.85,2,2,1,有,有,13800000,170686,坡道機械,21.76,0,含增建或未登記建物。;,RPROMLOJKHPFFBA67CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,8.33,商,,,1081121,土地1建物1車位0,一層，騎樓,二十二層,店面(店鋪),見其他登記事項,鋼骨鋼筋混凝土造,1060418,109.55,0,1,1,有,有,24500000,223642,,0.0,0,,RPTOMLOJKHPFFBA87CA
萬華區,房地(土地+建物)+車位,臺北市萬華區環河南路一段91~120號,50.13,住,,,1081216,土地1建物1車位4,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1031107,427.54999999999995,4,2,3,有,有,68800000,160917,坡道平面,0.0,0,,RPWNMLPJKHPFFBA18CA
