鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,10.82,住,,,1081221,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,126.17,2,2,1,有,有,25800000,204486,坡道平面,35.84,0,,RPXNMLOJKHPFFBA18CA
大同區,房地(土地+建物)+車位,臺北市大同區民生西路171巷1~30號,7.07,商,,,1081208,土地2建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940414,80.85,2,2,1,有,有,13800000,170686,坡道機械,21.76,0,含增建或未登記建物。;,RPROMLOJKHPFFBA67CA
萬華區,房地(土地+建物)+車位,臺北市萬華區環河南路一段91~120號,50.13,住,,,1081216,土地1建物1車位4,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1031107,427.54999999999995,4,2,3,有,有,68800000,160917,坡道平面,0.0,0,,RPWNMLPJKHPFFBA18CA
大同區,房地(土地+建物)+車位,臺北市大同區承德路二段61~90號,20.85,商,,,1081216,土地2建物1車位1,二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060925,247.29,4,2,3,有,有,54000000,218367,坡道平面,36.25,0,,RPOOMLQJKHPFFBA57CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段451~480號,42.81,住,,,1081207,土地4建物1車位2,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900117,248.26999999999998,4,2,2,有,有,48500000,195352,坡道平面,0.0,0,,RPRNMLOJKHPFFCA67CA
中山區,房地(土地+建物)+車位,臺北市中山區五常街11巷1~30號,36.83,住,,,1081216,土地2建物1車位2,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,313.49,3,2,2,有,有,69320000,269239,坡道平面,76.08,5400000,,RPSNMLRLKHPFFCA28CA
中山區,房地(土地+建物)+車位,臺北市中山區五常街11巷1~30號,36.83,住,,,1081216,土地2建物1車位2,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,313.49,3,2,2,有,有,69320000,269239,坡道平面,76.08,5400000,,RPTNMLRLKHPFFCA38CA
北投區,房地(土地+建物)+車位,臺北市北投區裕民二路31~60號,16.35,商,,,1081207,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950630,175.94,3,2,2,有,有,33680000,191429,坡道平面,42.09,0,含增建或未登記建物。;,RPSNMLOJKHPFFEA97CA
士林區,房地(土地+建物),臺北市士林區福國路91~120號,15.76,商,,,1081118,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680503,118.92,3,2,2,有,有,20550000,172805,,0.0,0,含增建或未登記建物。;,RPVNMLOJKHPFFEA28CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,21.9,住,,,1081222,土地1建物1車位1,十七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,188.35000000000002,3,2,2,有,有,31000000,191104,坡道平面,38.17,2300000,,RPVOMLOJKHPFFEA38CA
